country,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,132,161,198,213,235,286,308,389,341,403,469,418,491,1350,1170,249,117,128,73.3,73.3,73.3,73.3,51.3,29.3,286,301,337,367,411,418,433,436,451,451,1260,1310,1350,1390,1480,1550,1620,1540,1950,1900,1980,2250,2210,2380,2450,2780,3000,3470,3900,4650,5010,5210,5460,5600,6680
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,183,282,202,231,235,238,257,279,279,271,282,290,301,337,312,345,458,506,572,638,810,862,898,975,1160,1090,1570,2000,1830,3910,5340,6340,6590,6060,6480,1990,1840,2200,7630,1730,1100,3790,3900,3820,4230,4460,3220,3210,3080,3430,3420,3420,3800,3960,3700,3860,5830,5540,6730,6780,5770,6130,6770,7000
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,25.7,33,40.3,47.7,58.7,69.7,84.3,103,125,150,180,216,264,315,381,458,561,704,843,1020,1240,1600,946,686,1220,1780,1850,1610,1620,1880,1860,2020,1940,2190,5240,5600,6620,7440,8610,8250,8800,10200,13300,11300,12400,14000,13900,14900,14200,13500,14700,14800,15700,19200,20600,23900,25700,28000,33100,35400,37400,47000,47400,45400,51700,60300,67300,79300,68400,61200,76500,85300,89600,76200,84400,80500,69300,93100,77400,75300,84800,92100,93900,99100,94400,75900,70300,69500,80000,78900,86200,93600,85600,95100,109000,120000,131000,138000,141000,131000,139000,144000,159000,145000,154000,163000,160000,161000,163000,170000,190000,183000,182000,185000,193000,194000,207000,211000,238000,252000,259000,282000,304000,307000,341000,353000,381000,382000,390000,397000,399000,408000,416000,442000,443000,430000,415000,409000,426000,422000,405000,431000,456000,463000,435000,427000,441000,446000,457000,468000,479000,495000,507000,515000,534000,528000,519000,553000,552000,557000,544000,554000,561000,537000,535000,537000,517000,517000,537000
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,77,36.7,18.3,22,22,29.3,18.3,14.7,18.3,22,22,18.3,14.7,29.3,25.7,22,18.3,29.3,36.7,36.7,36.7,51.3,62.3,66,77,73.3,80.7,209,249,121,33,36.7,36.7,84.3,84.3,58.7,80.7,73.3,80.7,95.3,99,106,110,114,121,143,147,158,183,216,235,275,308,330,440,473,506,469,524,557,616,506,499,491
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,88,88,73.3,73.3,73.3,88,84.3,91.7,183,187,209,183,169,161,114,103,128,128,147,103,106,136,143,147,150,161,161,260,231,249,198,205,216,224,235,235,235,246,249,264,268,246,246,235,235,235,249,253,253,253,264,279,293,297,301
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.3,55,51.3,84.3,91.7,99,106,84.3,117,125,161,125,150,121,161,150,183,183,198,194,202,209,209,205,205,216,180,187,198,66,103,143,66,84.3,91.7,103,110,125,143,150,161,176,172,169,381,378,400,407,462,510,491,517,539,612,700,730
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524,535,638,741,634,851,1570,1960,2160,1970,2080,2440,2180,2460,2350,2810,3110,3470,3360,2850,3070,3710,4030,3970,3890,2780,3340,2760,3050,4030,3800,3910,3880,3660,4020,3850,2930,2900,4100,4830,5120,5030,5280,5530,5010,5270,5570,5810,6120,6150,5650,5440,5710,6220,5880,8460,9990,10600,10400,11100,11600,11800,11700,12500,12700,13500,14500,16700,17400,17500,17800,18800,19300,21200,22600,24700,27100,28200,27700,26000,23000,24100,23100,22900,24900,25300,24600,20600,20800,22200,21500,22200,22700,26900,32400,33300,31300,32500,34600,38100,41700,48500,56400,57600,61500,58800,53300,55200,55600,59800,61800,64800,71600,71900,66800,72300,79200,81000,83200,82600
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.3,,,95.3,1970,2090,2300,17100,16900,22800,20900,18800,27900,9790,10800,15100,16100,18000,19900,21100,24300,26800,25300,26700,32200,35100,33200,29600,33600,34100,35800,38000,40300,38600,42300,49300,57700,65100,60600,55300,67200,86200,108000,114000,97400,97900,50400,31300,33600,23900,59400,78700,102000,128000,134000,161000,191000,217000,257000,526000,722000,781000,552000,440000,437000,437000,476000,523000,433000,469000,577000,772000,877000,932000,969000,988000,1150000,1200000,1310000,1460000,1490000,1470000,1450000,1580000,1670000,1810000,1970000,2070000,2210000,2370000,2410000,2440000,2570000,2690000,2880000,3060000,3320000,3460000,3470000,3320000,3320000,3410000,3490000,3850000,4540000,5230000,5900000,6530000,7030000,7550000,8000000,8780000,9730000,10000000,10300000,10300000
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.3,143,187,198,444,847,825,1350,1290,653,330,80.7,535,737,2410,2790,2790,3010,4640,4170,3740,4170,3740,4750,4480,4970,5070,4490,5140,7510,8170,8640,10800,9630,12000,12600,13700,14000,16100,16400,18200,19400,21300,21700,22900,23500,24700,26600,28000,28400,30300,31500,33700,36500,35900,38100,39400,41700,44400,44400,44500,45900,49400,49000,48400,49100,50500,52400,53200,57300,57100,62000,64000,67600,59600,60500,64900,66000,56500,57900,56300,55700,57400,55100,60900,62900,62400,68100,72700,76200,76500,80000,89600,84100
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,14.7,18.3,18.3,18.3,18.3,29.3,29.3,29.3,29.3,29.3,33,40.3,40.3,29.3,22,47.7,47.7,47.7,47.7,47.7,47.7,44,47.7,51.3,51.3,62.3,66,66,69.7,69.7,73.3,77,80.7,88,91.7,103,103,103,132,143,139,161,103,106,132,161,136,143,176,154
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,7.33,80.7,161,216,172,238,231,282,304,389,249,51.3,3.67,18.3,33,40.3,103,121,88,77,103,143,220,172,172,312,326,374,477,1480,1750,2090,2290,2820,3390,3180,3330,2930,2700,2320,2360,2170,2300,1980,2470,2410,2290,3370,3650,2710,2960,3020,3190,3370,3240,3410,3490,3540,3760,3500,3780,3070,4030,3960,3640,3380,3850,4020,4390,4070,2960,2820,2590,1640,2120,2320,1900,1670,1380,814,836,928,986,1200,1500,1610,1760,1860,1750,2020,2490,2400,3590,4670
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,224,268,238,235,268,246,308,323,451,502,572,686,664,1220,1620,1100,1240,480,323,348,407,473,1350,1140,1140,1280,1070,1320,1500,1510,1190,1000,1280,1320,2150,1570,1720,2340,777,821,1050,766,576,917,950,983,1120,1210,1310,1750,1980,2260,2970,3090,3090
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286,312,389,433,407,348,484,462,447,385,491,491,550,601,675,847,994,876,1040,1150,1250,1530,1760,2050,1910,2040,2090,2610,2920,2790,2460,2250,2090,2100,2000,2270,2610,2760,2940,2970,2960,3340,3790,3950,5270,4870,4750,4990,5320,5520,5470,5760,6330,6630,6930,6870,7100,8120,8130,7900,7570,7740,7770,7600,7760
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499,546,462,554,587,623,763,1170,1290,1490,1760,2090,2440,2710,3010,3210,3560,3990,3960,4060,4820,5420,6220,4470,6110,4840,5410,7330,5970,7680,9160,8520,5030,4560,4100,5350,4690,6620,7840,7570,6910,6270,6790,7730,7290,5460,7660,7830,7000,6780,6780,5660,6970,7250,9300,10700,11000
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16400,16800,16500,17000,17000,18900,20200,20000,19300,20400,21500,23000,22400,22600,22600,23800,22600,21200,20200,19800,18000,17600,16800
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,84.3,84.3,88,110,169,191,183,183,5610,6480,6290,6200,5960,6780,5850,13900,18000,15700,13700,12200,14200,13000,14300,14600,15200,15700,16000,17300,18700,19600,20800,22400,22900,27100,27200,29400,30700,31700,31400,32700,34600,30800,32600,32600,33600,34000,35600,35700,33300,29700,31300,29400,32200,25700,27000,24600,24500,25300,26100,25500,26100,25500,25000,26000,27400,26800,30400,29900,38400,36000,36200,34800,34800
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268,282,315,367,444,451,675,818,766,832,887,865,906,986,1000,1150,1240,1360,1620,1670,1710,1880,2410,2500,1930,1980,2460,2670,2810,3000,3210,3050,3100,3100,3180,3100,3550,4120,4130,4340,4370,4690,5180,5450,5640,5380,5940,5860,6410,6380,6930,6850,7020,7750,7330,7500,7790,8200,8580,8110,7710,7430,6920,5950,6060
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,667,1130,1600,2070,2530,3000,3460,3930,4400,4870,5330,5800,6260,6730,7200,12400,13100,13700,14700,15600,16500,16800,18000,18600,19500,20500,21500,23100,24500,26100,27100,27500,28100,28800,29900,30700,32500,33200,34000,33800,35300,35800,36500,36800,37900,39600,41600,42400,42100,41700,42200,44900,47000,42800,42700,45500,42700,36400,34400,34100,32800,29300,30900,38000,35700,36200,38900,40900,45800,40400,37800,32900,30100,30100,31000,33600,40700,46700,51300,57800,58200,62800,69300,66100,35100,43600,49500,53500,56300,57900,61700,66000,68400,73100,75800,81400,85000,92900,93000,99100,108000,115000,121000,126000,122000,122000,121000,127000,135000,155000,162000,164000,164000,166000,174000,181000,186000,188000,183000,185000,183000,182000,182000,188000,186000,187000,185000,182000,176000,165000,152000,138000,133000,126000,124000,125000,127000,123000,112000,124000,124000,120000,122000,117000,120000,122000,123000,117000,108000,112000,107000,101000,98700,96500
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,158,209,227,172,312,271,341,312,334,359,458,455,649,664,491,627,543,785,678,755,649,1020,939,917,1090,946,1140,1190,1140,1150,1240,1460,1540,1530,1450,1640,1860,1970,2120,2430,2420,2540,2430,2490,2810,3000,2870,3090,3170,3000,3400,3530,4320,4630,4810,5250,5150,5360,5510,5730,6180,6010,6550,5840,7240,8010,7360,7840,9290,9530,9770,10500,10200,7440,8680,8240,7200,6800,9660,10500,12400,10700,10500,13300,12600,15100,13800,14300,13400,13400,14700,15300,15800,16300,14600,16300,14800,17400,16500,20600,20300,14100,17700,21500,17100,16900,22000,21900,22900,23200,25600,27100,26400,24900,26800,26100,29800,31700,36900,40700,43200,44300,50100,49100,53300,59400,62100,57100,59600,59300,55100,55800,60100,61800,61100,63000,60400,51800,53700,50200,50900,60100,58900,58300,55100,48800,50200,60300,54300,57100,61000,57200,72200,61600,59600,55100,51300,52900,52000,56000,50600,47100,55000,50300,46900,44500,46600,40600,36400,38500,33500
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,25.7,25.7,29.3,33,36.7,29.3,44,47.7,36.7,40.3,44,47.7,66,84.3,121,139,88,121,84.3,139,161,191,180,194,198,198,198,202,363,348,301,348,348,352,359,378,389,348,389,323,312,312,312,304,304,312,326,315,315,341,367,400,422,407,414,411,462,499,462,517,473,517,609,722
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,7.33,3.67,3.67,3.67,3.67,3.67,7.33,11,11,11,11,14.7,14.7,14.7,14.7,22,22,18.3,25.7,25.7,25.7,25.7,29.3,29.3,29.3,25.7,25.7,33,36.7,36.7,40.3,40.3,44,47.7,47.7,47.7,55,58.7,58.7,58.7,58.7,62.3,66,80.7,73.3,80.7,77,80.7,103,110,103,117,114,117,114,154,132,132,139,128,136,132,136
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.33,22,25.7,348,359,594,620,627,917,986,1030,1070,1110,1040,1030,1240,1250,1750,1550,1670,1570,2350,2650,3110,3520,4680,5970,6420,6340,6330,5610,5450,6810,6460,6170,6340,7910,7440,7290,8180,9750,9830,10400,9230,10000,10900,11800,12500,15900,17300,18000,18400,18600,19800,19800,21300,21500,18300,18600,19800,21200,20700,20200,21000,21200,22100,21400,21500
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.7,25.7,25.7,25.7,25.7,25.7,36.7,44,69.7,91.7,235,473,601,678,766,711,726,733,785,876,975,1030,1070,1090,730,1050,1060,1330,1230,1100,1160,1290,1300,741,704,895,821,964,1200,1300,1130,1320,1290,1760,1650,1570,1800,2150,2280,2420,2590,3120,3590,4280,4220,4590,5260,6090,7360,8110,7480,10400,12200,13400,16700,19300,19600,21300,19400,15300,15100,17300,20300,16800,16500,22300,24200,13700,22800,24200,18400,22500,21500,20700,23100,25000,27000,29000,30300,28900,31900,33900,36100,36500,38600,38100,41000,43900
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,84.3,40.3,308,91.7,180,422,865,689,455,561,532,469,499,554,532,568,869,924,1020,1010,953,873,825,748,730,689,880,2230,3030,3960,3840,4110,4360,4360,4230,4420,6160,7470,10200,10600,10900,10800,11700,10700,9960,11900,13700,12700,16100,17100,18600,21600,25500,27600,26600,19700,22900,19700,21700,23000,25500,23800,26100,31100,34500,37900,39300,42900,45200,51000,56500,57100,63800,63900,74600,74800,74500,72200,75900,78700,81300,93200,85300,95700,102000,108000,122000,125000,141000,125000,127000,148000,151000,167000,179000,189000,199000,207000,203000,217000,217000,213000,202000
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268,323,389,418,469,462,528,598,598,605,620,583,649,1130,1230,1040,1310,1160,1260,1190,1430,1510,1680,1970,1970,2110,2210,2290,2390,2390,2130,1830,1770,1900,1610,1990,1990,2450,2470,2590,2510,3170,3320,3800,4590,5030,4570,5470,5810,5700,5740,5950,6040,6550,6370,6450,6850,6980,6550,6440,6460,6650,6660,6230,6290
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,29.3,36.7,36.7,33,47.7,47.7,22,22,22,25.7,25.7,29.3,25.7,25.7,29.3,44,36.7,66,88,29.3,51.3,62.3,62.3,62.3,69.7,62.3,58.7,69.7,73.3,62.3,80.7,66,80.7,99,106,117,66,143,158,99,33,128,114,290,165,466,455,3090,4980,6020,5220,4710,4760,4800,4500,4620,4680,6130,5120,5160,5350
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7,7.33,3.67,11,14.7,18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,865,935,1010,865,590,620,609,631,605,726,770,766,561,579,414,513,513,594,660,667,697
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,29.3,22,22,14.7,14.7,14.7,18.3,25.7,33,40.3,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23900,19500,19000,17500,18300,18100,16300,15200,14900,15600,14900,17100,17300,16800,16200,18700,17500,14600,18100,18600,17600,19900,19500
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,,,,,3.67,3.67,88,62.3,99,183,271,227,242,323,319,337,352,341,396,422,407,645,825,1070,1730,1670,1650,1850,1410,1750,1740,1210,1180,1050,1370,1850,1820,1870,1480,1840,1660,1820,2210,2580,2670,2830,3020,2980,2970,3030,2240,2560,2860,3050,3220,3160,3550,4350,4520,4990,5300,5120,5500,6010,6580,6630,6590,7730,8560,10600,11600
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,132,158,169,158,172,194,165,176,198,194,169,231,242,425,345,323,356,396,433,521,550,579,631,671,623,484,766,711,840,796,1080,840,715,583,579,605,477,554,631,814,671,748,752,748,763,821,792,770,785,843,1060,891,1050,1350,1100,1220,1160,895,792,1220,1090,1060,1150,1170
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.7,73.3,73.3,77,47.7,62.3,69.7,62.3,88,69.7,91.7,114,91.7,88,125,84.3,95.3,114,128,77,99,99,121,117,143,220,128,128,121,161,209,220,194,194,220,235,297,517,488,737,601,422,400,513,528,587,616,887,1410,1280,1060,1320,1490,1660,689,106,180,121,73.3,238,275,282,711,1480,1750,1710,1600,2850,3130,3360,2650,3010,3030,3230,3960,3520,4970,6790,5700,4880,2320,3250,2810,3950,2730,642,3290,5460,8470,4940,6550,7990,8670,7580,9160,10900,12200,12300,10600,13600,15100,14900,16800,19400,22900,25300,29500,28600,33300,37900,40400,40600,44200,49400,46700,46100,51300,50200,51900,54300,58200,51500,43100,41600,42300,49700,53300,57700,52200,52600,51700,53700,47500,50400,57200,52700,61300,59900,57000,55400,52400,57100,61700,69100,67100,54600,66200,64000,56500,53100,62100,56800,49100,47200,47300
